Brnd_Name,Tot_Drug_Cst,Tot_Clms,Cost_Per_Claim
Effer-K,35825.35000000002,1841,19.45972297664314
Empaveli,18592256.56,455,40862.10232967033
Fetroja,1607724.0199999996,764,2104.350811518324
Generlac,18646.179999999997,1099,16.96649681528662
Glumetza,3004710.8400000003,770,3902.2218701298707
Gvoke Pfs 2-Pack Syringe,231929.31999999998,370,626.8359999999999
Hydrocortisone-Pramoxine,29494.449999999997,248,118.92923387096774
Hyrimoz(Cf) Pen,737243.2799999999,99,7446.901818181817
Insulin Pen Needle,292.36,14,20.882857142857144
Isotretinoin,142578.43999999997,908,157.02471365638763
Ixchiq,59795.939999999995,150,398.6396
Kombiglyze Xr,81663.53,183,446.24879781420765
Kuvan,1542735.12,116,13299.440689655174
Lescol Xl,19175.7,46,416.86304347826086
Lessina,7416.640000000001,503,14.744811133200798
Levocarnitine Sf,35825.49,565,63.407946902654864
Lipofen,13233.69,46,287.6889130434783
Lutera,3404.2100000000005,205,16.605902439024394
Me-Naphos-Mb-Hyo 1,3779.8900000000003,29,130.34103448275863
Mefloquine Hcl,26442.889999999996,550,48.07798181818181
Methsuximide,150347.81999999998,489,307.45975460122696
Micardis,141097.43000000002,680,207.49622058823533
Miglitol,122006.93999999997,489,249.50294478527601
Mili,10159.369999999999,647,15.702272024729519
Milrinone In 5% Dextrose,173816.12,1967,88.36610066090493
Myfortic,186464.51999999996,216,863.2616666666664
Neupogen,1787441.42,834,2143.2151318944843
Nizatidine,109218.39999999997,1154,94.64332755632579
Norditropin Flexpro,7600010.97,2287,3323.1355356362046
Northera,7040346.470000001,467,15075.688372591008
Oracea,740729.0700000003,778,952.0939203084837
Palynziq,19815187.210000005,704,28146.57274147728
Penciclovir,124319.78,184,675.6509782608696
Ravicti,61060146.059999995,719,84923.70801112655
Reclipsen,2515.13,146,17.226917808219177
Segluromet,220085.04000000004,504,436.67666666666673
Slynd,298888.94000000006,1388,215.33785302593665
Sumatriptan Succ-Naproxen Sod,926866.8400000001,2421,382.8446261875259
Syfovre,4548139.14,1538,2957.1775942782833
Tobrex,38026.670000000006,141,269.69269503546104
Velivet,7348.16,248,29.629677419354838
Vonjo,44146321.87,1946,22685.674136690646
Vpriv,7117097.39,214,33257.46443925233
Xerava,203956.41999999998,298,684.4175167785235
Xopenex Hfa,187513.17,2263,82.8604374723818
Yonsa,10030622.060000004,1003,10000.6201994018
Zocor,94681.29999999997,361,262.2750692520775
Zolinza,1221314.28,157,7779.071847133758
Alcohol Wipes,1586.8400000000001,332,4.779638554216868
Altavera,8333.639999999998,556,14.988561151079132
Alyq,145772.53000000003,120,1214.7710833333335
Amcinonide,2447104.49,1218,2009.1169868637112
Cardizem Cd,372417.35000000003,252,1477.8466269841272
Cefepime,195069.41999999993,698,279.46908309455574
Cometriq,927701.0900000001,65,14272.324461538463
Dermacinrx Lidogel,584669.53,221,2645.563484162896
Duobrii,62544.02,62,1008.7745161290322
Durysta,695616.29,193,3604.2294818652854
Erbitux,3150127.2099999995,367,8583.452888283377
Ferriprox (2 Times A Day),17268990.78,578,29877.146678200694
Fulphila,3308335.689999999,1515,2183.7199273927386
Gazyva,3247144.6,317,10243.358359621452
Givlaari,11526729.42,196,58809.84397959184
Hydrocodone-Homatropine Mbr,185.81,13,14.293076923076923
Kalydeco,21447628.61,830,25840.51639759036
Lapatinib,2063580.5899999999,455,4535.341956043956
Linezolid-D5w,166679.81000000003,706,236.09038243626065
Menactra,13154.11,77,170.8325974025974
Methadone Intensol,8702.67,326,26.69530674846626
Methylphenidate Hcl Cd,98329.98999999999,1222,80.46644026186578
Neomycin-Bacitracin-Poly-Hc,9208.69,233,39.52227467811159
Neomycin-Bacitracin-Polymyxin,21571.560000000005,682,31.629853372434024
Nikki,14705.52,540,27.232444444444447
Norvir,225079.82000000004,720,312.61086111111115
Novofine Plus,19793.54,332,59.61909638554217
Novolog Penfill,236066.96,1088,216.9733088235294
Pulmozyme,711446.68,156,4560.555641025641
Sarclisa,4257859.77,490,8689.509734693876
Seglentis,128169.12000000001,398,322.03296482412065
Stivarga,21809929.46999999,1283,16999.165604052992
Thiola,2911162.0399999996,406,7170.349852216747
Tri-Lo-Mili,16720.1,866,19.307274826789836
Tribenzor,428999.76000000007,924,464.2854545454546
